business_name,owner_name,email,phone,website,address_street,address_city,address_state,address_zip,lat,lng,certifications,services,years_in_business,license_number,insurance_verified
First Choice Home Inspections,Christopher Garcia,christophergarcia@aol.com,(520) 422-1398,https://www.firstchoiceinspections.com,9333 First Street,Birmingham,AL,51494,33.5421750878992,-86.83482837305502,ASHI; InterNACHI,Home Inspection; Pool Inspection; HVAC Inspection,21,,false
Professional Property Evaluations,Michael Anderson,michaelanderson@inspection.net,(907) 401-8439,,7172 Park Avenue,Birmingham,AL,24734,33.47669706830635,-86.77000564789208,Certified; Licensed,Home Inspection; Well Water Testing,7,,true
Complete Home Inspection Services,John Williams,johnwilliams@gmail.com,(251) 265-2226,https://completeerviceshome.com,8257 School Street,Mobile,AL,42887,30.718279196714782,-88.01207153161108,ASHI; InterNACHI,Home Inspection; Plumbing Inspection,7,,true
Accurate Home Inspections,Thomas Brown,info@thomasbrown.com,(623) 162-1505,https://www.accurateproperty.net,5342 First Street,Mobile,AL,53530,30.72708487337791,-88.0026782647722,Certified; Licensed,Home Inspection; Radon Testing,3,,true
Accurate Home Inspections,Michael Wilson,michaelwilson89@hotmail.com,(520) 689-1854,https://www.accurateproperty.net,242 Lincoln Drive,Mobile,AL,84805,30.742982862127125,-88.01122133374061,ICC; ASHI,Home Inspection; Mold Testing; Termite Inspection,4,LIC68710,true
Complete Home Inspection Services,William Anderson,williamanderson@gmail.com,(480) 810-3542,https://completeerviceshome.com,6474 Cedar Lane,Mobile,AL,94438,30.735050551253718,-87.99195043631448,ASHI,Home Inspection; Plumbing Inspection,5,,true
SafeCheck Home Inspections,Daniel Wilson,danielwilson@aol.com,(334) 315-3653,https://safecheckhome.com,6071 School Street,Mobile,AL,69372,30.71879749129052,-88.02607835415533,Certified; Licensed,Residential Inspection; Electrical Inspection,5,,true
SafeCheck Home Inspections,Christopher Wilson,christopherwilson.inspection@propertycheck.com,(205) 258-2211,https://www.safecheckinspections.com,293 Church Road,Mobile,AL,53439,30.70826496412229,-88.04765300603012,InterNACHI,Property Inspection; Roof Inspection,5,LIC98949,true
Detailed Home Inspection Co.,Mark Wilson,markwilson@outlook.com,(251) 976-9807,,8235 Cedar Lane,Mobile,AL,56267,30.649711296959048,-88.03795135669029,Licensed,Home Inspection; Foundation Inspection,10,,true
Thorough Property Assessments,Daniel Anderson,contact@danielandersoninspections.com,(623) 751-5431,https://www.thoroughassessmentsinspections.com,6826 Elm Street,Mobile,AL,59372,30.670102281857726,-88.0199340163353,NAHI; CREIA,Property Inspection; Septic Inspection,10,,false
Eagle Eye Property Inspections,Thomas Davis,thomasdavis.inspection@outlook.com,(480) 109-7710,https://www.eagleeyeinspections.com,7239 Main Street,Mobile,AL,42914,30.686608174352997,-88.01585228508901,InterNACHI; NACHI,Residential Inspection; New Construction Inspection,19,LIC87536,true
Quality First Home Inspectors,Daniel Brown,danielbrown30@hotmail.com,(334) 960-1640,,4785 Third Street,Mobile,AL,14871,30.661484200187076,-88.05249087942535,Licensed,Home Inspection; Foundation Inspection,12,,false
HomeGuard Inspection Company,Robert Rodriguez,robertrodriguez@gmail.com,(602) 453-7964,https://www.guardcompanyproperty.net,6568 School Street,Mobile,AL,54142,30.654641388182533,-88.06584114133665,Certified; Licensed,Property Inspection; Roof Inspection,13,,true
Complete Home Inspection Services,David Miller,davidmiller59@gmail.com,(334) 570-5518,https://completeerviceshome.com,6307 First Street,Mobile,AL,96514,30.73414355033684,-88.06500196964613,AHIT,Home Inspection; Mold Testing; Termite Inspection,4,,true
Professional Property Evaluations,Paul Rodriguez,paulrodriguez@aol.com,(205) 440-6818,https://professionalevaluationshome.com,3868 School Street,Mobile,AL,41491,30.64796198154297,-88.04298753070348,ICC; ASHI,Residential Inspection; Electrical Inspection,9,,false
Premier Property Inspection Services,Paul Rodriguez,info@paulrodriguez.com,(256) 629-4581,https://premierervices.com,2616 First Street,Mobile,AL,79691,30.71078776278615,-88.06746806201282,NAHI; CREIA,Property Inspection; Roof Inspection,12,,false
Reliable Residential Inspections,Michael Lopez,michaellopez.inspection@propertycheck.com,(251) 837-7853,,3650 Cedar Lane,Mobile,AL,15660,30.71319462026916,-88.07810244503887,ICC; ASHI,Home Inspection; Mold Testing; Termite Inspection,17,LIC32035,true
Reliable Residential Inspections,David Smith,davidsmith15@aol.com,(480) 200-3223,,9548 Maple Drive,Mobile,AL,22796,30.668464412525765,-87.99497069917322,ASHI; InterNACHI,Home Inspection; Well Water Testing,16,,false
Premier Property Inspection Services,Paul Rodriguez,info@paulrodriguez.com,(907) 919-4899,,8153 Third Street,Mobile,AL,73049,30.674751763065565,-88.05985630615315,Certified; Licensed,Home Inspection; Well Water Testing,6,,true
AllClear Inspection Services,Paul Smith,paulsmith51@homeinspections.com,(205) 844-2481,https://www.allclearervicesinspections.com,9859 Washington Avenue,Mobile,AL,16673,30.678525883765495,-87.99344202162263,Licensed,Residential Inspection; Electrical Inspection,22,,true
Thorough Property Assessments,Brian Hernandez,info@brianhernandez.com,(623) 143-2719,https://thoroughassessments.com,1470 Maple Drive,Mobile,AL,49579,30.727839039711103,-88.06023478131362,Licensed,Home Inspection; Mold Testing; Termite Inspection,7,LIC25746,true
Professional Property Evaluations,Brian Miller,brianmiller53@gmail.com,(251) 759-8592,https://www.professionalevaluationsinspections.com,9675 First Street,Mobile,AL,70742,30.684014264516676,-88.06104875876464,IAEI; ICC,Home Inspection; Mold Testing; Termite Inspection,22,,true
Detailed Home Inspection Co.,Andrew Hernandez,andrewhernandez15@gmail.com,(251) 183-6970,,7796 Lincoln Drive,Mobile,AL,93820,30.712482341657115,-88.07172002998124,InterNACHI; NACHI,Residential Inspection; New Construction Inspection,14,,false
Professional Property Evaluations,David Anderson,davidanderson.inspection@inspection.net,(480) 428-2559,https://professionalevaluationshome.com,4450 Church Road,Mobile,AL,35344,30.68263790216598,-88.0571002998783,IAEI; ICC,Residential Inspection; Electrical Inspection,11,LIC16198,false
SafeCheck Home Inspections,William Lopez,williamlopez@outlook.com,(928) 701-8758,https://www.safecheckinspections.com,4550 School Street,Mobile,AL,40845,30.734877436998996,-88.0495491952429,ASHI; InterNACHI,Property Inspection; Septic Inspection,10,,false
SafeCheck Home Inspections,Andrew Garcia,andrewgarcia73@gmail.com,(520) 955-4437,https://safecheck.com,949 Madison Street,Denver,CO,65181,39.73215260937507,-104.95556840730028,ASHI,Property Inspection; Roof Inspection,12,,true
Complete Home Inspection Services,Paul Lopez,paullopez3@homeinspections.com,(256) 950-7287,,9261 School Street,Denver,CO,88808,39.71503697314175,-105.00663594091388,AHIT,Residential Inspection; New Construction Inspection,20,,true
Detailed Home Inspection Co.,Mark Jones,markjones.inspection@outlook.com,(205) 800-1886,,7028 First Street,Denver,CO,96910,39.736365870191,-105.00142187001569,InterNACHI; NACHI,Home Inspection; Plumbing Inspection,12,LIC7234,false
Premier Property Inspection Services,James Williams,jameswilliams10@inspection.net,(907) 949-5892,https://www.premierervicesinspections.com,1246 First Street,Denver,CO,41508,39.71912224187878,-104.957195869294,ICC; ASHI,Residential Inspection; New Construction Inspection,15,,false
Complete Home Inspection Services,John Hernandez,johnhernandez80@hotmail.com,(205) 722-3256,https://completeerviceshome.com,8405 Church Road,Denver,CO,52952,39.768387584190634,-104.9551207614846,ASHI,Property Inspection; Roof Inspection,24,,false
Thorough Property Assessments,Brian Martinez,brianmartinez12@hotmail.com,(602) 589-3921,https://thoroughassessments.com,7189 Madison Street,Denver,CO,97864,39.76213616194365,-105.00620055133842,Licensed,Home Inspection; Plumbing Inspection,19,,false
AllClear Inspection Services,William Martinez,info@williammartinez.com,(907) 345-3254,https://www.allclearervicesinspections.com,7129 Madison Street,Denver,CO,98150,39.75773847110642,-104.98989898196136,InterNACHI; NACHI,Home Inspection; Radon Testing,8,,false
TrustPoint Home Inspection,Christopher Garcia,christophergarcia.inspection@homeinspections.com,(907) 576-5938,https://trustpoint.com,3222 Second Avenue,Denver,CO,92637,39.778213964212284,-104.98616773503197,ASHI; InterNACHI,Home Inspection; Radon Testing,15,,true
HomeGuard Inspection Company,Christopher Garcia,christophergarcia.inspection@propertycheck.com,(205) 858-2076,https://www.guardcompanyproperty.net,9224 School Street,Denver,CO,93647,39.719990011674064,-104.96756622703225,NAHI; CREIA,Residential Inspection; Electrical Inspection,19,,true
Accurate Home Inspections,David Gonzalez,davidgonzalez.inspection@homeinspections.com,(256) 468-2996,https://accurate.com,13 Lincoln Drive,Denver,CO,90629,39.75550930474908,-105.03145951833207,InterNACHI; NACHI,Property Inspection; Roof Inspection,25,,true
SafeCheck Home Inspections,Steven Anderson,contact@stevenandersoninspections.com,(928) 941-6046,,2574 Church Road,Denver,CO,27391,39.75936984500166,-104.99522649144843,AHIT,Home Inspection; Mold Testing; Termite Inspection,5,,false
Reliable Residential Inspections,Kenneth Smith,kennethsmith@propertycheck.com,(928) 124-2109,https://www.reliableresidentialproperty.net,2742 Cedar Lane,Denver,CO,77282,39.75229255726243,-105.0366880766251,NAHI; CREIA,Residential Inspection; Electrical Inspection,8,,true
Eagle Eye Property Inspections,Robert Hernandez,roberthernandez.inspection@outlook.com,(907) 658-6570,,8816 Washington Avenue,Denver,CO,39983,39.70789281101807,-104.99191792033903,InterNACHI; NACHI,Home Inspection; Foundation Inspection,24,LIC3383,true
Reliable Residential Inspections,Thomas Gonzalez,contact@thomasgonzalezinspections.com,(520) 968-9293,https://www.reliableresidentialproperty.net,329 Maple Drive,Denver,CO,79322,39.78276174603935,-105.02446529883926,NAHI; CREIA,Property Inspection; Roof Inspection,15,,true
SafeCheck Home Inspections,Thomas Lopez,thomaslopez@gmail.com,(928) 970-9934,https://safecheck.com,6745 First Street,Denver,CO,45046,39.68957543632279,-104.98514082542248,ICC; ASHI,Home Inspection; Plumbing Inspection,8,,false
Professional Property Evaluations,John Martinez,johnmartinez75@hotmail.com,(928) 964-9780,https://www.professionalevaluationsinspections.com,4927 Washington Avenue,Denver,CO,17162,39.76518726758683,-104.99748570075651,InterNACHI; NACHI,Property Inspection; Roof Inspection,7,,true
AllClear Inspection Services,Steven Lopez,contact@stevenlopezinspections.com,(205) 261-8842,,2484 Second Avenue,Denver,CO,68049,39.693882841893924,-104.95038016724025,Licensed,Residential Inspection; Electrical Inspection,17,,true
HomeGuard Inspection Company,Robert Garcia,info@robertgarcia.com,(205) 441-5655,https://www.guardcompanyinspections.com,9020 Park Avenue,Denver,CO,25049,39.70192854091644,-104.95855797729678,Licensed,Residential Inspection; Electrical Inspection,15,LIC73496,true
Eagle Eye Property Inspections,Robert Hernandez,roberthernandez67@outlook.com,(480) 868-9635,,1400 Second Avenue,Denver,CO,42085,39.78901693271616,-104.96108177416555,AHIT,Property Inspection; Roof Inspection,9,LIC11706,true
Quality First Home Inspectors,James Wilson,jameswilson@propertycheck.com,(928) 636-5970,https://qualityfirstinspectors.com,60 Elm Street,Colorado Springs,CO,34500,39.98014003430839,-98.00829649705653,NAHI; CREIA,Property Inspection; Roof Inspection,24,,true
Thorough Property Assessments,John Martinez,johnmartinez.inspection@inspection.net,(256) 438-3299,https://thoroughassessments.com,8555 Elm Street,Colorado Springs,CO,50400,40.00466665778949,-97.95419325771006,InterNACHI,Home Inspection; Radon Testing,10,,true
Complete Home Inspection Services,Daniel Smith,danielsmith.inspection@hotmail.com,(334) 218-9503,https://completeervices.com,2536 Park Avenue,Colorado Springs,CO,59062,40.01526980844003,-98.03794674639322,ASHI; InterNACHI,Home Inspection; Plumbing Inspection,3,LIC98838,false
Thorough Property Assessments,Daniel Rodriguez,danielrodriguez.inspection@homeinspections.com,(623) 603-9648,https://thoroughassessments.com,5028 Third Street,Colorado Springs,CO,94559,40.04989474506643,-98.022342618837,NAHI; CREIA,Residential Inspection; New Construction Inspection,18,,false
Reliable Residential Inspections,Kenneth Smith,info@kennethsmith.com,(623) 825-8184,https://www.reliableresidentialproperty.net,6921 Lincoln Drive,Colorado Springs,CO,49662,40.01917932206599,-98.01735876117459,ICC; ASHI,Property Inspection; Roof Inspection,16,,true
Complete Home Inspection Services,Robert Rodriguez,robertrodriguez.inspection@aol.com,(602) 197-3056,https://completeerviceshome.com,5209 Pine Road,Colorado Springs,CO,87159,40.02975480780597,-97.98330567190831,IAEI; ICC,Home Inspection; Plumbing Inspection,1,,true
Premier Property Inspection Services,Michael Anderson,contact@michaelandersoninspections.com,(251) 781-7335,,8240 School Street,Colorado Springs,CO,60050,39.97662792279676,-97.95823565598188,Certified; Licensed,Home Inspection; Well Water Testing,23,,true
Eagle Eye Property Inspections,Andrew Wilson,andrewwilson@yahoo.com,(602) 787-9240,https://www.eagleeyeproperty.net,5602 Third Street,Colorado Springs,CO,73190,40.04664447223232,-98.02219631653423,InterNACHI; NACHI,Home Inspection; Pool Inspection; HVAC Inspection,24,,true
SafeCheck Home Inspections,John Davis,johndavis43@gmail.com,(205) 571-2558,https://www.safecheckproperty.net,4584 School Street,Colorado Springs,CO,10785,40.02533874558182,-98.01817087439814,ASHI,Home Inspection; Mold Testing; Termite Inspection,25,,true
Thorough Property Assessments,David Johnson,davidjohnson13@hotmail.com,(334) 685-7897,https://thoroughassessmentshome.com,9349 Cedar Lane,Colorado Springs,CO,33407,39.98207987972194,-97.95888886481008,InterNACHI,Home Inspection; Well Water Testing,24,,true
Detailed Home Inspection Co.,Robert Williams,contact@robertwilliamsinspections.com,(907) 194-5369,https://www.detailedcoinspections.com,4342 Pine Road,Colorado Springs,CO,98714,39.95658585863656,-98.01674094527829,Licensed,Home Inspection; Plumbing Inspection,3,,true
TrustPoint Home Inspection,Daniel Davis,danieldavis@yahoo.com,(334) 155-7382,https://trustpoint.com,8836 School Street,Colorado Springs,CO,25511,40.02903747974943,-98.03950933233945,ICC; ASHI,Home Inspection; Radon Testing,19,,false
SafeCheck Home Inspections,William Anderson,contact@williamandersoninspections.com,(334) 840-7815,https://www.safecheckinspections.com,7570 Third Street,Colorado Springs,CO,45911,40.0481371069563,-97.96356692014496,IAEI; ICC,Property Inspection; Roof Inspection,8,,false
Detailed Home Inspection Co.,Daniel Anderson,info@danielanderson.com,(480) 821-9068,,1410 Madison Street,Colorado Springs,CO,49691,40.035940591925204,-97.97114369397836,InterNACHI,Home Inspection; Pool Inspection; HVAC Inspection,2,,true
Detailed Home Inspection Co.,Andrew Jones,contact@andrewjonesinspections.com,(520) 409-2949,https://detailedcohome.com,8819 Pine Road,Colorado Springs,CO,78289,40.02638516650638,-97.96677375041259,ICC; ASHI,Home Inspection; Plumbing Inspection,4,,false
HomeGuard Inspection Company,Brian Brown,info@brianbrown.com,(256) 410-3419,https://guardcompanyhome.com,1879 Third Street,Colorado Springs,CO,61711,39.98981786205379,-98.0259969258894,ASHI,Home Inspection; Well Water Testing,11,LIC72331,true
Detailed Home Inspection Co.,David Gonzalez,davidgonzalez@outlook.com,(256) 553-7536,https://detailedcohome.com,2478 School Street,Colorado Springs,CO,93494,39.989250972250574,-98.03995078128122,Licensed,Home Inspection; Radon Testing,7,,true
Eagle Eye Property Inspections,Kenneth Martinez,contact@kennethmartinezinspections.com,(251) 683-1286,https://eagleeye.com,7543 Elm Street,Colorado Springs,CO,32706,40.02227211716575,-98.03612439808947,InterNACHI; NACHI,Home Inspection; Foundation Inspection,25,,true
TrustPoint Home Inspection,Daniel Miller,danielmiller@outlook.com,(205) 481-9433,,363 Pine Road,Colorado Springs,CO,20955,39.96613898314353,-97.96031602826294,Certified; Licensed,Home Inspection; Mold Testing; Termite Inspection,7,,true
Reliable Residential Inspections,David Miller,contact@davidmillerinspections.com,(602) 449-3884,https://www.reliableresidentialproperty.net,3573 Cedar Lane,Atlanta,GA,34978,33.723378290052395,-84.39359154707955,ASHI,Residential Inspection; New Construction Inspection,4,,true
Complete Home Inspection Services,Thomas Johnson,thomasjohnson29@hotmail.com,(251) 857-4143,https://www.completeervicesproperty.net,7790 First Street,Atlanta,GA,17311,33.79811878789551,-84.42574074362159,AHIT,Residential Inspection; Electrical Inspection,5,,true
AllClear Inspection Services,Brian Brown,info@brianbrown.com,(334) 334-2679,https://www.allclearervicesinspections.com,9868 Elm Street,Atlanta,GA,28081,33.71446903023508,-84.42817790491591,InterNACHI; NACHI,Home Inspection; Plumbing Inspection,8,LIC98432,true
TrustPoint Home Inspection,Mark Martinez,markmartinez@hotmail.com,(334) 313-6966,https://trustpointhome.com,8283 First Street,Atlanta,GA,83593,33.757476188453595,-84.41714467521376,InterNACHI,Residential Inspection; Electrical Inspection,25,,true
Premier Property Inspection Services,William Smith,williamsmith.inspection@homeinspections.com,(520) 290-1020,https://premierervices.com,132 First Street,Atlanta,GA,62962,33.758183210120535,-84.37311369641645,InterNACHI,Home Inspection; Pool Inspection; HVAC Inspection,20,,true
TrustPoint Home Inspection,Daniel Smith,danielsmith13@inspection.net,(334) 299-6756,https://www.trustpointproperty.net,7216 Cedar Lane,Atlanta,GA,85058,33.706847757002286,-84.341535983367,InterNACHI; NACHI,Residential Inspection; Electrical Inspection,24,,false
First Choice Home Inspections,Steven Hernandez,contact@stevenhernandezinspections.com,(251) 275-8632,https://firstchoicehome.com,9267 School Street,Atlanta,GA,85761,33.69919487225908,-84.38559848932053,ICC; ASHI,Home Inspection; Mold Testing; Termite Inspection,19,,true
HomeGuard Inspection Company,David Martinez,info@davidmartinez.com,(256) 296-2924,https://guardcompany.com,4713 Main Street,Atlanta,GA,67256,33.78917913690933,-84.34687145189093,ASHI; InterNACHI,Property Inspection; Septic Inspection,2,,true
Professional Property Evaluations,William Anderson,info@williamanderson.com,(205) 191-9594,https://professionalevaluationshome.com,6156 Main Street,Atlanta,GA,39034,33.759435995778304,-84.38225798325932,Licensed,Residential Inspection; New Construction Inspection,20,,false
AllClear Inspection Services,Kenneth Hernandez,kennethhernandez.inspection@inspection.net,(520) 139-5566,https://www.allclearervicesinspections.com,5053 Church Road,Atlanta,GA,14004,33.73427707937453,-84.43777777815755,ICC; ASHI,Property Inspection; Septic Inspection,3,LIC84341,true
Accurate Home Inspections,Andrew Garcia,andrewgarcia@gmail.com,(907) 892-6704,https://www.accurateproperty.net,2034 Lincoln Drive,Atlanta,GA,94904,33.735852017594574,-84.37274202114867,IAEI; ICC,Home Inspection; Radon Testing,19,LIC78157,true
Certified Property Inspectors,Kenneth Miller,kennethmiller.inspection@aol.com,(205) 627-3602,,5001 Third Street,Atlanta,GA,31963,33.76434924796663,-84.40633046934904,AHIT,Home Inspection; Mold Testing; Termite Inspection,22,LIC26922,false
Complete Home Inspection Services,James Martinez,jamesmartinez@hotmail.com,(602) 241-8786,https://completeervices.com,7503 Cedar Lane,Atlanta,GA,54427,33.7902272067232,-84.36297108765977,InterNACHI,Home Inspection; Mold Testing; Termite Inspection,23,LIC86285,true
Reliable Residential Inspections,Thomas Williams,thomaswilliams@hotmail.com,(205) 714-7291,,471 Park Avenue,Atlanta,GA,14484,33.73796744381457,-84.38321305694919,ASHI,Residential Inspection; Electrical Inspection,16,,true
Thorough Property Assessments,William Wilson,info@williamwilson.com,(256) 440-6983,https://www.thoroughassessmentsproperty.net,5803 Pine Road,Atlanta,GA,11307,33.71139206997786,-84.3389799613873,Certified; Licensed,Home Inspection; Mold Testing; Termite Inspection,8,,true
TrustPoint Home Inspection,Kenneth Anderson,kennethanderson69@propertycheck.com,(256) 285-4430,https://www.trustpointinspections.com,6978 Madison Street,Atlanta,GA,15720,33.782398547264904,-84.36193677199766,ASHI; InterNACHI,Home Inspection; Plumbing Inspection,25,,true
Accurate Home Inspections,Steven Jones,stevenjones.inspection@outlook.com,(256) 695-3969,https://www.accurateproperty.net,1544 Washington Avenue,Atlanta,GA,65888,33.735164022374086,-84.41550363368623,ASHI,Property Inspection; Septic Inspection,4,,false
SafeCheck Home Inspections,Mark Wilson,contact@markwilsoninspections.com,(928) 951-8229,https://safecheck.com,6072 Church Road,Atlanta,GA,25950,33.72638955950658,-84.33867986748135,ASHI; InterNACHI,Home Inspection; Well Water Testing,20,LIC83866,true
Professional Property Evaluations,Andrew Garcia,andrewgarcia95@outlook.com,(623) 718-4097,https://www.professionalevaluationsproperty.net,9296 School Street,Atlanta,GA,64158,33.70150046625937,-84.34638891906094,Licensed,Home Inspection; Mold Testing; Termite Inspection,10,,true
SafeCheck Home Inspections,Christopher Jones,info@christopherjones.com,(480) 486-7293,https://www.safecheckproperty.net,3897 Oak Avenue,Atlanta,GA,42975,33.751237949206335,-84.3941282317981,InterNACHI,Home Inspection; Radon Testing,12,,false
Professional Property Evaluations,Daniel Williams,info@danielwilliams.com,(480) 396-1137,,8860 Cedar Lane,Atlanta,GA,16369,33.75450319925454,-84.34044634869959,ICC; ASHI,Home Inspection; Mold Testing; Termite Inspection,15,LIC91890,false
Complete Home Inspection Services,Kenneth Lopez,contact@kennethlopezinspections.com,(256) 884-6291,https://completeervices.com,5844 Oak Avenue,Atlanta,GA,86685,33.76934792244924,-84.42644907937351,ASHI; InterNACHI,Residential Inspection; New Construction Inspection,13,,true
Certified Property Inspectors,David Brown,contact@davidbrowninspections.com,(334) 866-5686,https://www.certifiedinspectorsproperty.net,5849 Washington Avenue,Augusta,GA,61553,40.03346542839256,-98.01326532247435,ASHI; InterNACHI,Residential Inspection; New Construction Inspection,15,,true
Complete Home Inspection Services,Robert Lopez,contact@robertlopezinspections.com,(334) 511-9933,https://www.completeervicesproperty.net,7152 Second Avenue,Augusta,GA,75411,39.95697614226789,-97.99791672013234,Licensed,Property Inspection; Roof Inspection,24,,true
Thorough Property Assessments,Robert Wilson,robertwilson.inspection@aol.com,(480) 302-3671,https://www.thoroughassessmentsinspections.com,627 Elm Street,Augusta,GA,72502,40.02298249507035,-97.9565676702094,IAEI; ICC,Home Inspection; Well Water Testing,8,LIC19031,false
Eagle Eye Property Inspections,Thomas Garcia,info@thomasgarcia.com,(928) 886-4925,https://www.eagleeyeproperty.net,9809 Second Avenue,Augusta,GA,32459,39.988317737365946,-97.96064788432408,IAEI; ICC,Home Inspection; Pool Inspection; HVAC Inspection,24,,false
Premier Property Inspection Services,Daniel Gonzalez,danielgonzalez54@yahoo.com,(205) 208-7626,,5886 Maple Drive,Augusta,GA,23235,40.030210743285394,-98.04678992178388,ICC; ASHI,Residential Inspection; New Construction Inspection,4,,true
Eagle Eye Property Inspections,Andrew Brown,andrewbrown45@gmail.com,(520) 378-4775,https://eagleeyehome.com,2499 Second Avenue,Augusta,GA,58381,40.04359267870812,-97.98233285195964,InterNACHI; NACHI,Property Inspection; Roof Inspection,12,LIC92448,false
Detailed Home Inspection Co.,David Hernandez,contact@davidhernandezinspections.com,(251) 853-3575,https://detailedcohome.com,8000 Washington Avenue,Augusta,GA,58220,40.04978179509435,-97.96979696921794,ICC; ASHI,Residential Inspection; Electrical Inspection,11,,false
Certified Property Inspectors,Daniel Rodriguez,danielrodriguez@propertycheck.com,(623) 517-5260,,1648 Third Street,Augusta,GA,15568,40.01022898189108,-97.99880064619151,ICC; ASHI,Home Inspection; Foundation Inspection,13,,false
